Go.	යන්න.
Go home.	ගෙදර යන්න.
Go slow.	සෙමින් යන්න.
Goodbye!	ආයුබෝවන්!
Hang on!	රැඳී සිටින්න!
Hang on.	රැඳී සිටින්න.
He came.	ඔහු ආවා.
He quit.	ඔහු ඉවත් විය.
He runs.	ඔහු දුවනවා.
Help me!	මට උපකාර කරන්න!
Help me.	මට උපකාර කරන්න.
Help us.	අපට උදව් කරන්න.
Hi, Tom.	හායි, ටොම්.
Hit Tom.	ටොම්ට පහර දෙන්න.
Hold it!	එය තබා ගන්න!
Hold on.	නවත් වන්න.
Hug Tom.	ටොම්ව බදාගන්න.
I agree.	මම එකඟයි.
I tried.	මම උත්සාහ කළා.
I'll go.	මම යන්නම්.
I'm Tom.	මම ටොම්.
I'm fat.	මම මහතයි.
I'm old.	මම වයසයි.
I'm sad.	මම දුකින්.
I'm shy.	මට ලැජ්ජයි.
It's OK.	ඒකට කමක් නැහැ.
It's me!	ඒ මමයි!
It's me.	ඒ මමයි.
Join us.	අප හා එක් වන්න.
Keep it.	තියාගන්න.
Me, too.	මටත්.
Open up.	විවෘත කරන්න.
Perfect!	පරිපූර්ණ!
See you!	නැවත හමුවෙන්නම්!
See you.	නැවත හමුවෙන්නම්.
Show me.	මට පෙනවන්න.
Shut up!	කට වහපන්!
Skip it.	එය මඟ හරින්න.
So long.	මෙතරම් කාලයක්.
Stop it.	එය නවත්වන්න.
Take it.	ඒක ගන්න.
Tell me.	මට කියන්න.
Tom ate.	ටොම් කෑවා.
Tom ran.	ටොම් දිව්වා.
Tom won.	ටොම් දිනුවා.
Tom can run very fast.	ටොම්ට ඉතා වේගයෙන් දුවන්න පුළුවන්.
Tom can't be that bad.	ටොම් එහෙම නරක වෙන්න බෑ.
Tom can't play tennis.	ටොම්ට ටෙනිස් ගහන්න බෑ.
Tom caught a big fish.	ටොම් ලොකු මාළුවෙක් ඇල්ලුවා.
Tom chased after Mary.	ටොම් මේරි පසුපස ලුහුබැඳ ගියේය.
Tom checked his watch.	ටොම් ඔහුගේ ඔරලෝසුව පරීක්ෂා කළේය.
Tom committed suicide.	ටොම් සියදිවි නසා ගත්තා.
Tom continued walking.	ටොම් දිගටම ඇවිද ගියේය.
Tom cut classes again.	ටොම් නැවතත් පන්ති කට් කළේය.
Tom denied everything.	ටොම් සියල්ල ප්‍රතික්ෂේප කළේය.
Tom did it, didn't he?	ටොම් ඒක කළා නේද?
Tom did nothing wrong.	ටොම් වරදක් කළේ නැත.
Tom did that one time.	ටොම් එක පාරක් එහෙම කළා.
Tom didn't believe me.	ටොම් මාව විශ්වාස කළේ නැහැ.
Tom didn't say a word.	ටොම් වචනයක්වත් කීවේ නැත.
Tom died this morning.	ටොම් අද උදෑසන මිය ගියේය.
Tom disappointed Mary.	ටොම් මේරි බලාපොරොත්තු සුන් කළේය.
Tom doesn't have time.	ටොම්ට වෙලාවක් නැහැ.
Tom doesn't like Mary.	ටොම් මේරිට කැමති නැහැ.
Tom doesn't like cats.	ටොම් බළලුන්ට කැමති නැත.
Tom doesn't like milk.	ටොම් කිරි වලට කැමති නැහැ.
Tom doesn't live here.	ටොම් මෙහි ජීවත් නොවේ.
Tom drew this picture.	ටොම් මේ පින්තූරය ඇන්දා.
Tom exploded in anger.	ටොම් කෝපයෙන් පුපුරා ගියේය.
Tom fell into a panic.	ටොම් කලබලයට පත් විය.
Tom fell into the mud.	ටොම් මඩේ වැටුණා.
Tom fell off a ladder.	ටොම් ඉණිමඟකින් වැටුණා.
Tom felt like dancing.	ටොම්ට නටන්න වගේ දැනුණා.
Tom finally got a job.	ටොම්ට අවසානයේ රැකියාවක් ලැබුණි.
Tom got married at 26.	ටොම් විවාහ වූයේ 26 දී ය.
Tom got off his horse.	ටොම් ඔහුගේ අශ්වයෙන් බැස ගියේය.
Tom got off the plane.	ටොම් ගුවන් යානයෙන් බැස ගියේය.
Tom got off the train.	ටොම් කෝච්චියෙන් බැස්සා.
Tom graduated in 2013.	ටොම් 2013 දී උපාධිය ලබා ගත්තේය.
Tom had a brain tumor.	ටොම්ට මොළයේ ගෙඩියක් තිබුණා.
Tom had a heat stroke.	ටොම්ට තාප ආඝාතයක් ඇති විය.
Tom had big blue eyes.	ටොම්ට විශාල නිල් ඇස් තිබුණා.
Tom handed Mary a cup.	ටොම් මේරිට කෝප්පයක් දුන්නා.
Tom has a big problem.	ටොම්ට ලොකු ප්‍රශ්නයක් තියෙනවා.
Tom has a good memory.	ටොම්ට හොඳ මතකයක් තියෙනවා.
Tom has a loose tooth.	ටොම්ට ලිහිල් දතක් තිබේ.
Tom has a pierced ear.	ටොම්ට කණක් සිදුරු කර ඇත.
Tom has a sore throat.	ටොම්ට උගුරේ අමාරුවක් තියෙනවා.
Tom has already begun.	ටොම් දැනටමත් ආරම්භ කර ඇත.
Tom has already eaten.	ටොම් දැනටමත් අනුභව කර ඇත.
Tom has been studying.	ටොම් ඉගෙන ගෙන ඇත.
Tom has poor eyesight.	ටොම්ට ඇස් පෙනීම දුර්වලයි.
Tom has varied tastes.	ටොම්ට විවිධ රසයන් ඇත.
Tom hid behind a tree.	ටොම් ගසක් පිටුපස සැඟවී සිටියේය.
Tom hid under the bed.	ටොම් ඇඳ යට සැඟවී සිටියේය.
Tom hung up the phone.	ටොම් දුරකථනය විසන්ධි කළේය.
Tom is a car salesman.	ටොම් මෝටර් රථ අලෙවිකරුවෙකි.
Tom is a close friend.	ටොම් සමීප මිතුරෙකි.
Tom is a good captain.	ටොම් හොඳ නායකයෙක්.
Tom is a good student.	ටොම් හොඳ ශිෂ්යයෙක්.
Tom is a good swimmer.	ටොම් හොඳ පිහිනුම් ක්‍රීඩකයෙක්.
Tom is a handsome man.	ටොම් කඩවසම් මිනිසෙකි.
Tom is a psychiatrist.	ටොම් මනෝ වෛද්‍යවරයෙකි.
Tom is a truck driver.	ටොම් ට්‍රක් රථ රියදුරෙකි.
Tom is afraid of dogs.	ටොම් බල්ලන්ට බයයි.
Tom is always at home.	ටොම් නිතරම ගෙදර.
Tom is always healthy.	ටොම් සැමවිටම නිරෝගී ය.
Tom is claustrophobic.	ටොම් ක්ලාස්ට්‍රොෆෝබික් ය.
Tom is consoling Mary.	ටොම් මේරිව සනසනවා.
Tom is coughing again.	ටොම් නැවතත් කැස්ස.
Tom is counting money.	ටොම් මුදල් ගණන් කරනවා.
Tom is drinking juice.	ටොම් යුෂ බොනවා.
Tom is eating a peach.	ටොම් පීච් එකක් කනවා.
Tom is from Australia.	ටොම් ඕස්ට්‍රේලියාවේ කෙනෙක්.
Tom is fun to talk to.	ටොම් සමඟ කතා කිරීමට විනෝදජනකයි.
Tom is getting better.	ටොම් හොඳ අතට හැරෙනවා.
Tom is good at French.	ටොම් ප්‍රංශ භාෂාවට දක්‍ෂයි.
Tom is hard to handle.	ටොම්ට හැසිරෙන්න අමාරුයි.
Tom is hard to please.	ටොම්ව සතුටු කරන්න අමාරුයි.
Tom is in a book club.	ටොම් ඉන්නේ පොත් සමාජයක.
Tom is in front of me.	ටොම් මා ඉදිරියෙහි සිටී.
Tom is in the kitchen.	ටොම් කුස්සියේ.
Tom is on a road trip.	ටොම් මාර්ග සංචාරයක යෙදී සිටී.
Tom is probably angry.	ටොම්ට තරහා වෙන්න ඇති.
Tom is probably right.	ටොම් සමහරවිට හරි.
Tom is reading a book.	ටොම් පොතක් කියවනවා.
Tom is scared of dogs.	ටොම් බල්ලන්ට බයයි.
Tom is still underage.	ටොම් තවමත් බාලවයස්කාරයෙකි.
Tom is tall, isn't he?	ටොම් උසයි නේද?
Tom is taller than me.	ටොම් මට වඩා උසයි.
Tom is very different.	ටොම් ගොඩක් වෙනස්.
Tom is washing dishes.	ටොම් පිඟන් සෝදනවා.
Tom is wearing gloves.	ටොම් අත්වැසුම් පැළඳ සිටී.
Tom isn't John's twin.	ටොම් ජෝන්ගේ නිවුන් දරුවෙක් නොවේ.
Tom isn't a professor.	ටොම් මහාචාර්යවරයෙක් නොවේ.
Tom isn't busy, is he?	ටොම් කාර්යබහුල නැහැ නේද?
Tom killed the dragon.	ටොම් මකරා මැරුවා.
Tom left home at noon.	ටොම් දවල්ට ගෙදරින් ගියා.
Tom likes being alone.	ටොම් තනිව සිටීමට කැමතියි.
Tom likes disco music.	ටොම් ඩිස්කෝ සංගීතයට කැමතියි.
Tom likes his new car.	ටොම් එයාගේ අලුත් කාර් එකට කැමතියි.
Tom looked good today.	ටොම්ට අද හොඳ පෙනුමක් තිබුණා.
Tom looked very happy.	ටොම් ඉතා සතුටින් පෙනුනි.
Tom looks happy today.	ටොම් අද සතුටින් වගේ.
Tom looks very sleepy.	ටොම් හොඳටම නිදිමතයි වගේ.
Tom lost 30 kilograms.	ටොම්ට කිලෝග්‍රෑම් 30 ක් අහිමි විය.
Tom lost his eyesight.	ටොම්ගේ ඇස් පෙනීම නැති විය.
Tom made a phone call.	ටොම් දුරකථන ඇමතුමක් ගත්තේය.
Tom majored in French.	ටොම් ප්‍රංශ භාෂාවෙන් ඉගෙනුම ලැබුවා.
Tom may be in trouble.	ටොම් අමාරුවේ වැටෙන්න ඇති.
Tom may not be hungry.	ටොම්ට බඩගිනි නැතුව ඇති.
Tom might have cancer.	ටොම්ට පිළිකාවක් තියෙන්න පුළුවන්.
Tom might not like it.	ටොම් එයට අකමැති විය හැකිය.
Tom often skips class.	ටොම් බොහෝ විට පන්තිය මඟ හරියි.
Tom often skips meals.	ටොම් බොහෝ විට ආහාර වේල මඟ හරියි.
Tom put the book down.	ටොම් පොත බිම තැබුවා.
Tom ran at full speed.	ටොම් සම්පූර්ණ වේගයෙන් දිව ගියේය.
Tom ran up the stairs.	ටොම් පඩිපෙළ නැග්ගා.
Tom read Mary a story.	ටොම් මේරිට කතාවක් කියෙව්වා.
Tom really loved Mary.	ටොම් ඇත්තටම මේරිට ආදරය කළා.
Tom removed his socks.	ටොම් ඔහුගේ මේස් ඉවත් කළේය.
Tom ruined my weekend.	ටොම් මගේ සති අන්තය විනාශ කළා.
Tom said he disagrees.	ටොම් පැවසුවේ ඔහු එකඟ නොවන බවයි.
Tom said he was bored.	ටොම් පැවසුවේ ඔහුට කම්මැලි බවයි.
Tom said that, not me.	ටොම් එහෙම කිව්වේ මම නෙවෙයි.
Tom screamed for help.	ටොම් උදව් ඉල්ලා කෑගැසුවා.
Tom scrubbed his feet.	ටොම් ඔහුගේ දෙපා පිරිමැද්දේය.
Tom shut his notebook.	ටොම් ඔහුගේ සටහන් පොත වසා දැමීය.
Tom stole my umbrella.	ටොම් මගේ කුඩය සොරකම් කළා.
Tom suppressed a yawn.	ටොම් ඇඹරීම යටපත් කළේය.
Tom swam to the shore.	ටොම් වෙරළට පිහිනා ගියේය.
Tom talks quite a lot.	ටොම් ගොඩක් කතා කරනවා.
Tom teaches us French.	ටොම් අපිට ප්‍රංශ උගන්නනවා.
Tom thanked all of us.	ටොම් අපි හැමෝටම ස්තුති කළා.
Tom took his mask off.	ටොම් ඔහුගේ වෙස්මුහුණ ඉවත් කළේය.
Tom took off his coat.	ටොම් ඔහුගේ කබාය ගලවා ගත්තේය.
Tom took off his mask.	ටොම් ඔහුගේ වෙස්මුහුණ ඉවත් කළේය.
Tom tried not to yawn.	ටොම් ඇඹරීමට උත්සාහ නොකළේය.
Tom tried to run away.	ටොම් පැන යාමට උත්සාහ කළේය.
Tom waited until 2:30.	ටොම් 2:30 වෙනකම් හිටියා.
Tom wants to help out.	ටොම්ට උදව් කරන්න ඕන.
Tom was a bad student.	ටොම් නරක ශිෂ්යයෙක් විය.
Tom was asleep in bed.	ටොම් ඇඳේ නිදාගෙන සිටියේය.
Tom was confused, too.	ටොම් ද අවුල් විය.
Tom was in the shower.	ටොම් නානවා.
Tom was shot to death.	ටොම්ට වෙඩි වැදිලා මැරුණා.
Tom was there as well.	ටොම් ද එහි සිටියේය.
Tom was totally drunk.	ටොම් සම්පූර්ණයෙන්ම බීමත්ව සිටියේය.
Tom washed Mary's car.	ටොම් මේරිගේ මෝටර් රථය සෝදා ගත්තේය.
Tom went for a stroll.	ටොම් ඇවිදින්න ගියා.
Tom will have to wait.	ටොම්ට බලා සිටීමට සිදුවනු ඇත.
Tom wiped his glasses.	ටොම් ඔහුගේ කණ්නාඩි පිස දැමීය.
Tom's dream came true.	ටොම්ගේ සිහිනය සැබෑ විය.
Tom's hands are large.	ටොම්ගේ අත් විශාලයි.
Tom's hands are small.	ටොම්ගේ අත් කුඩායි.
Tom's stomach growled.	ටොම්ගේ බඩ කෙඳිරි ගෑවා.
Tom's window was open.	ටොම්ගේ කවුළුව විවෘත විය.
Tomorrow is Christmas.	හෙට නත්තල.
Tomorrow is a holiday.	හෙට නිවාඩු දවසක්.
Try some of this cake.	මෙම කේක් වලින් ටිකක් උත්සාහ කරන්න.
Turn in your homework.	ඔබේ ගෙදර වැඩ කරන්න.
Two seats were vacant.	ආසන දෙකක් හිස් විය.
War broke out in 1941.	1941 දී යුද්ධය ආරම්භ විය.
Was Tom dating anyone?	ටොම් කා සමඟ හෝ පෙම් සබඳතාවක් පවත්වමින් සිටියාද?
Was Tom wearing a hat?	ටොම් තොප්පියක් පැළඳ සිටියාද?
Was Tom working alone?	ටොම් වැඩ කළේ තනියමද?
Was anybody else hurt?	වෙන කාටවත් තුවාල වුනාද?
Was anybody listening?	කවුරු හරි අහගෙන හිටියද?
Was that all Tom said?	ටොම් කීවේ එපමණද?
Was the train crowded?	කෝච්චියේ සෙනඟ පිරුණාද?
Was the window closed?	ජනේලය වැහුවද?
We accepted his offer.	අපි ඔහුගේ යෝජනාව පිළිගත්තා.
We agreed to the plan.	අපි සැලැස්මට එකඟ වුණා.
We can't go right now.	අපිට දැන් යන්න බෑ.
We can't tow this car.	අපිට මේ කාර් එක ඇදගෙන යන්න බෑ.
We eat a lot of bread.	අපි ගොඩක් පාන් කනවා.
We had a little water.	අපිට වතුර ටිකක් තිබුණා.
We have a lot of time.	අපිට ගොඩක් වෙලා තියෙනවා.
We have three options.	අපට විකල්ප තුනක් තිබේ.
We have time to spare.	අපට ඉතිරි කිරීමට කාලය තිබේ.
We have two daughters.	අපිට දුවලා දෙන්නෙක් ඉන්නවා.
We hear with our ears.	අපි කනෙන් ඇහෙනවා.
We helped on the farm.	අපි ගොවිපොළට උදව් කළා.
We knelt down to pray.	අපි දණින් වැටී යාච්ඤා කළා.
We left the door open.	අපි දොර ඇරලා දැම්මා.
We live in a big city.	අපි ජීවත් වෙන්නේ විශාල නගරයක.
We lost by two points.	අපි ලකුණු දෙකකින් පැරදුණා.
We met at summer camp.	අපි ගිම්හාන කඳවුරේදී හමු විය.
We miss you very much.	අපට ඔබ නැතුව පාලුයි.
We must start at once.	අපි එකවරම ආරම්භ කළ යුතුයි.
We must study English.	අපි ඉංග්‍රීසි ඉගෙන ගත යුතුයි.
We need to stay alert.	අපි අවදියෙන් සිටිය යුතුයි.
We need to study more.	අපි තව පාඩම් කරන්න ඕන.
We rested for a while.	අපි ටික වෙලාවක් විවේක ගත්තා.
We sometimes see them.	අපි සමහර වෙලාවට ඒවා දකිනවා.
We took turns driving.	අපි මාරුවෙන් මාරුවට එලෙව්වා.
We use a lot of water.	අපි ගොඩක් වතුර පාවිච්චි කරනවා.
We waited three hours.	අපි පැය තුනක් බලාගෙන හිටියා.
We walked in the park.	අපි උද්යානය තුළ ඇවිද ගියෙමු.
We want something new.	අපිට අලුත් දෙයක් ඕන.
We watch TV every day.	අපි හැමදාම රූපවාහිනිය බලනවා.
We went to the museum.	අපි කෞතුකාගාරයට ගියා.
We will soon take off.	අපි ඉක්මනින්ම ගුවන් ගත කරන්නෙමු.
We'll begin work soon.	අපි ඉක්මනින්ම වැඩ පටන් ගමු.
We'll get back to you.	අපි ඔබ වෙත ආපසු එන්නෙමු.
We'll go after we eat.	අපි කෑම කාලා යමු.
We'll talk afterwards.	අපි පස්සේ කතා කරමු.
We're learning French.	අපි ප්‍රංශ භාෂාව ඉගෙන ගන්නවා.
We're making progress.	අපි ප්‍රගතියක් ලබනවා.
We're on our way home.	අපි ගෙදර යන ගමන්.
We're on the way home.	අපි ගෙදර යන ගමන්.
We're paid by the job.	අපි රැකියාවෙන් වැටුප් ලබනවා.
Well, I must be going.	හොඳයි, මම යනවා ඇති.
Well, let's get going!	හොඳයි, අපි යමු!
Were you at the party?	ඔබ සාදයේ සිටියාද?
Were you following me?	ඔබ මාව අනුගමනය කරමින් සිටියාද?
Were you on the train?	ඔබ දුම්රියේ සිටියාද?
Were you really angry?	ඔයාට ඇත්තටම තරහ ගියාද?
Were you up all night?	ඔබ මුළු රෑම අවදියෙන් සිටියාද?
What I need is a beer.	මට ඕනේ බියර් එකක්.
What Tom said is true.	ටොම් කියපු දේ ඇත්ත.
What a beautiful city!	මොනතරම් ලස්සන නගරයක්ද!
What a beautiful town!	මොනතරම් ලස්සන නගරයක්ද!
What a beautiful view!	මොනතරම් සුන්දර දසුනක්ද!
What a wonderful idea!	මොනතරම් අපූරු අදහසක්ද!
What are the symptoms?	රෝග ලක්ෂණ මොනවාද?
What are you drinking?	ඔබ මොනවද බොන්නේ?
What are you implying?	ඔබ අදහස් කරන්නේ කුමක්ද?
What are you learning?	ඔබ ඉගෙන ගන්නේ කුමක්ද?
What are you studying?	ඔබ ඉගෙන ගන්නේ මොනවාද?
What are you thinking?	ඔයා මොනවද කල්පනා කරන්නේ?
What are your hobbies?	ඔබේ විනෝදාංශ මොනවාද?
What can I do for you?	මට ඔයාට කළ හැක්කේ කුමක් ද?
What did Tom discover?	ටොම් සොයාගත්තේ කුමක්ද?
What did she do today?	අද ඇය කළේ කුමක්ද?
What did you do there?	ඔබ එහි කළේ කුමක්ද?
What did you do today?	අද ඔයා කළේ මොනවා ද?
What did you just say?	මොකක්ද ඔයා දැන් කිව්වේ?
What did you major in?	ඔබ ප්‍රධාන කළේ කුමක් ද?
What do you recommend?	ඔබ නිර්දේශ කරන්නේ මොනවාද?
What does your son do?	පුතා මොකද කරන්නේ?
What else do you have?	ඔබ සතුව තවත් මොනවාද?
What else do you want?	ඔයාට වෙන මොනවද ඕන කරන්නේ?
What grade are you in?	ඔබ සිටින්නේ කුමන ශ්‍රේණියේද?
What horrible weather!	මොනතරම් භයානක කාලගුණයක්ද!
What is going on here?	මොකක්ද මෙතන වෙන්නේ?
What is he driving at?	ඔහු ධාවනය කරන්නේ කුමක් ද?
What is his wife like?	ඔහුගේ බිරිඳ මොන වගේද?
What is in the garden?	උයනේ ඇත්තේ කුමක්ද?
What is on Channel 10?	චැනල් 10 හි ඇත්තේ කුමක්ද?
What is the cat up to?	බළලා කුමක් කරයිද?
What is the next stop?	මීළඟ නැවතුම කුමක්ද?
What made her do that?	ඇය එසේ කිරීමට පෙලඹුණේ කුමක්ද?
What made you do this?	ඔබට මෙය කිරීමට හේතු වූයේ කුමක්ද?
What makes you so sad?	ඔබට මෙතරම් දුකක් ගෙන දෙන්නේ කුමක්ද?
What on earth is this?	මොකක්ද දෙයියනේ මේ?
What should I do next?	මම ඊළඟට කුමක් කළ යුතුද?
What time do you have?	ඔබ සතුව කුමන වේලාව සතු වේද?
What time is it there?	එහේ වේලාව කීය ද?
What'd the doctor say?	ඩොක්ටර් මොකද කිව්වේ?
What're you doing now?	දැන් මොකද කරන්නේ?
What's her name again?	නැවතත් ඇගේ නම කුමක්ද?
What's in your pocket?	ඔබේ සාක්කුවේ ඇත්තේ කුමක්ද?
What's the daily rate?	දෛනික ගාස්තුව කුමක්ද?
What's the difference?	මොකක්ද වෙනස?
What's your father do?	ඔයාගේ තාත්තා මොකද කරන්නේ?
What's your full name?	ඔබේ සම්පූර්ණ නම කුමක්ද?
What's your specialty?	ඔබේ විශේෂත්වය කුමක්ද?
When did you fire Tom?	ඔබ ටොම්ව ඉවත් කළේ කවදාද?
When did you get home?	ඔබ ගෙදර ආවේ කවදාද?
When is checkout time?	පිටවීම් පිරික්සුම් වේලාව කුමක්ද?
When is your birthday?	ඔයාගේ උපන් දිනය කවදා ද?
When will Tom go home?	ටොම් ගෙදර යන්නේ කවදාද?
When will they arrive?	ඔවුන් පැමිණෙන්නේ කවදාද?
When will you be back?	ඔබ නැවත පැමිණෙන්නේ කවදාද?
Where are the showers?	ස්නාන කොහෙද?
Where are the toilets?	වැසිකිළි කොහිද?
Where are you heading?	ඔබ කොහෙද යන්නේ?
Where are you staying?	ඔබ සිටින්නේ කොහේද?
Where are you working?	ඔයා කොහෙද වැඩ කරන්නේ?
Where are your horses?	ඔබේ අශ්වයන් කොහෙද?
Where are your uncles?	ඔබේ මාමලා කොහෙද?
Where is the bathroom?	නානකාමරය තියෙන්නේ කොහේ ද?
Where is the elevator?	සෝපානය කොහෙද?
Where is the restroom?	විවේකාගාරය කොහිද?
Where's the cafeteria?	ආපනශාලාව කොහෙද?
Where's the gift shop?	තෑගි කඩය කොහෙද?
Where's the newspaper?	කෝ පත්තරේ?
Where's the president?	කෝ ජනාධිපතිතුමා?
Where's your grandson?	කෝ ඔයාගේ මුනුබුරා?
Where's your umbrella?	ඔබේ කුඩය කොහෙද?
Which jacket is Tom's?	ටොම්ගේ ජැකට් එක මොකක්ද?
Who am I talking with?	මම කා සමඟද කතා කරන්නේ?
Who called the police?	පොලිසියට කතා කළේ කව්ද?
Who do you think I am?	ඔයා හිතන්නේ මම කවුරු කියලද?
Who is that gentleman?	කවුද ඒ මහත්තයා?
Who is that old woman?	කවුද ඒ මහලු කාන්තාව?
Who is that young guy?	කවුද ඒ තරුණයා?
Who taught you French?	ඔබට ප්‍රංශ ඉගැන්වූයේ කවුද?
Whose bicycle is this?	මේ බයිසිකලය කාගේද?
Whose is this bicycle?	මේ බයිසිකලය කාගේද?
Whose shoes are those?	ඒ සපත්තු කාගේද?
Whose turn is it next?	ඊළඟ වාරය කාගේද?
Why are they laughing?	ඔවුන් සිනාසෙන්නේ ඇයි?
Why are we still here?	ඇයි අපි තවම මෙතන ඉන්නේ?
Why are you in Boston?	ඔබ බොස්ටන්හි සිටින්නේ ඇයි?
Why are you so clumsy?	ඇයි ඔයා ඔච්චර අවුල්ද?
Why can't you do that?	ඇයි ඔයාට ඒක කරන්න බැරි?
Why do you hate women?	ඔබ කාන්තාවන්ට වෛර කරන්නේ ඇයි?
Why don't we sit down?	ඇයි අපි වාඩි නොවන්නේ?
Why don't you ask Tom?	ඇයි ඔයා ටොම්ගෙන් අහන්නේ නැත්තේ?
Why don't you come in?	ඇයි ඔයා ඇතුලට එන්නෙ නැත්තෙ?
Why don't you go home?	ඇයි ඔයා ගෙදර යන්නේ නැත්තේ?
Why don't you tell me?	ඇයි ඔයා මට කියන්නේ නැත්තේ?
Why should I help Tom?	මම ටොම්ට උදව් කළ යුත්තේ ඇයි?
Will he come tomorrow?	ඔහු හෙට එයිද?
Will it rain tomorrow?	හෙට වහිනවද?
Will you come with me?	මාත් එක්ක එනවද?
Will you give me some?	මට ටිකක් දෙනවද?
Will you go on a trip?	ඔබ ගමනක් යනවාද?
Will you stay at home?	ගෙදර ඉන්නවද?
Will you stop talking?	කතා කරන එක නවත්තනවද?
Will you take me home?	මාව ගෙදර එක්කන් යනවද?
Winter is coming soon.	ශීත ඍතුව ඉක්මනින් පැමිණේ.
Won't you have a seat?	ඔයාට ආසනයක් නැද්ද?
Wow, that looks tasty.	වාව්, එය රසවත් බව පෙනේ.
Write me sometime, OK?	මට වෙලාවක ලියන්න, හරිද?
Yeah. I think so, too.	ඔව්. මමත් එහෙම හිතනවා.
You all did good work.	ඔයාලා හැමෝම හොඳ වැඩ කළා.
You are going too far.	ඔබ බොහෝ දුර යනවා.
You are not a student.	ඔබ ශිෂ්යයෙක් නොවේ.
You aren't very smart.	ඔබ එතරම් බුද්ධිමත් නොවේ.
You can only die once.	ඔබට මිය යා හැක්කේ එක් වරක් පමණි.
You can't tame a wolf.	ඔබට වෘකයෙකු මෙල්ල කළ නොහැක.
You cannot be serious.	ඔබට බරපතල විය නොහැක.
You don't have to eat.	කන්න ඕනේ නැහැ.
You don't look so hot.	ඔබ එතරම් උණුසුම් බවක් නොපෙනේ.
You dropped something.	ඔබ යමක් අතහැරියා.
You have no influence.	ඔබට කිසිම බලපෑමක් නැහැ.
You have to work hard.	ඔබ වෙහෙස මහන්සි වී වැඩ කළ යුතුයි.
You look pretty young.	ඔයා ගොඩක් තරුණ වගේ.
You looked quite busy.	ඔබ තරමක් කාර්යබහුල බව පෙනේ.
You may take the book.	ඔබට පොත රැගෙන යා හැකිය.
You must do your best.	ඔබ ඔබේ උපරිමය කළ යුතුයි.
You must not be noisy.	ඔබ ඝෝෂාකාරී නොවිය යුතුය.
You never believed me.	ඔයා කවදාවත් මාව විශ්වාස කළේ නැහැ.
You ought to trust me.	ඔබ මාව විශ්වාස කළ යුතුයි.
You people are insane.	ඔය මිනිස්සුන්ට පිස්සු.
You really look great.	ඔබ ඇත්තෙන්ම විශිෂ්ටයි.
You should've done so.	ඔබ එසේ කළ යුතුව තිබුණි.
You will stay at home.	ඔබ නිවසේ රැඳී සිටිනු ඇත.
You'd better back off.	ඔබ පසුබසිනවා නම් හොඳයි.
You'll miss the train.	ඔබට දුම්රිය මග හැරෙනු ඇත.
You'll never be alone.	ඔබ කවදාවත් තනි නොවනු ඇත.
You're going to be OK.	ඔයාට හරි යයි.
You're not my brother.	ඔයා මගේ සහෝදරයෙක් නෙවෙයි.
You're not so special.	ඔබ එතරම් විශේෂ නැත.
You're over-analyzing.	ඔබ ඕනෑවට වඩා විශ්ලේෂණය කරනවා.
You're very beautiful.	ඔයා හරිම ලස්සනයි.
You've come too early.	ඔයා කලින් ආවා වැඩියි.
Your account is empty.	ඔබගේ ගිණුම හිස් ය.
Your hair is too long.	ඔබේ කොණ්ඩය දිග වැඩියි.
